code,nombre,Cleanliness,Location,Service,rating_Excellent,rating_Poor,rating_Terrible,rating_Very Good,number_of_reviews,stars
BW160,Atocha 95,,,,,,,,1.0,5.0
TH46,Madrid Suites Sol,,,,,,,,5.0,1.5
EC201,The Hat,4.7,4.9,4.6,924.0,18.0,21.0,280.0,1288.0,4.5
TH563,Apartamentos Betancourt,,,,,,,,5.0,4.0
BW171,Apartamentos Sol Victoria,,,,,,,,3.0,4.0
BW361,Barcelo Emperatriz,4.8,4.6,4.8,1048.0,11.0,8.0,207.0,1307.0,4.5
AA588,Apartamentos Plaza de Espana,,,,2.0,0.0,1.0,3.0,9.0,3.5
AA56,New Point Madrid Opera,4.3,5.0,4.7,32.0,1.0,1.0,4.0,38.0,4.5
TR720,Hostal Don Pedro,2.2,3.5,2.6,2.0,5.0,19.0,5.0,36.0,2.0
TR590,Apartamentos Gavirental Puerta del Sol I,,,,9.0,0.0,10.0,14.0,39.0,3.5
EX562,Arenal Suites Gran Via,,,,4.0,0.0,1.0,0.0,6.0,4.0
TR409,Fuencarral Adeco,4.2,4.8,3.7,16.0,0.0,3.0,25.0,49.0,4.0
JH712,Hotel Aravaca Garden,2.5,2.4,3.1,8.0,14.0,56.0,16.0,117.0,2.0
JH478,Hotel Catalonia El Retiro,,,,178.0,18.0,18.0,218.0,511.0,4.0
JH117,Alba 1924 Guesthouse,,4.0,5.0,,,,,4.0,4.0
BW506,Hostal Maria Ronda,,,,14.0,0.0,1.0,23.0,47.0,4.0
TR255,Hotel Barajas Plaza,4.3,4.2,3.9,55.0,18.0,14.0,110.0,270.0,3.5
TR432,Hostal Hispano-Argentino,3.7,4.6,3.4,9.0,5.0,5.0,16.0,49.0,3.5
TH287,Hotel One Shot Luchana 22,4.5,4.6,4.5,433.0,30.0,13.0,308.0,868.0,4.5
AA312,Smartrental Collection Gran Via Centric,4.8,5.0,4.5,77.0,7.0,8.0,11.0,107.0,4.5
EX663,Hostal Domus Aurea,,,,,,,,1.0,1.0
EC453,A&Z Villegas - Only Adults,,,,,,,,6.0,4.0
TH159,Hostel Boutique Roisa,4.1,4.3,3.8,24.0,4.0,15.0,18.0,72.0,3.5
TH1,Hostal Nersan,3.5,4.5,3.4,17.0,7.0,10.0,32.0,80.0,3.5
AA382,Eric Vokel Boutique Apartments - Atocha Suites,4.7,4.5,4.6,631.0,9.0,6.0,216.0,898.0,4.5
AA650,Hostal Visa,,,,,,,,1.0,2.0
AA430,Hostal Excelsior,3.9,4.8,4.1,34.0,13.0,11.0,50.0,143.0,3.5
TR498,Hotel 4C Puerta Europa,,,,23.0,8.0,3.0,52.0,112.0,4.0
TR349,Mayerling Hotel,4.5,4.8,4.6,457.0,8.0,3.0,368.0,892.0,4.5
BW405,Hostal Falfes,4.2,4.0,4.2,31.0,4.0,2.0,44.0,111.0,4.0
BW158,Rooms Madrid,,,,10.0,3.0,8.0,5.0,30.0,3.0
BW676,Genteel Home Reina Sofia,,,,,,,,1.0,1.0
TH618,Magda Hostel,,,,,,,,1.0,4.0
BW543,Hostel Era Alonso Martinez,3.9,4.4,3.9,17.0,5.0,11.0,23.0,68.0,3.5
EC352,THC Tirso de Molina,4.6,4.5,4.4,61.0,5.0,3.0,84.0,174.0,4.0
JH626,Village la Latina,,,,,,,,1.0,4.0
EX428,Hostal Graciela,3.2,4.9,3.7,4.0,1.0,1.0,10.0,20.0,4.0
TH444,Aa Hotel Serrano,4.1,4.5,4.0,43.0,10.0,7.0,78.0,184.0,4.0
JH692,Oshun Madrid Norte,,,,,,,,6.0,2.5
EC566,Apartamentos Benignus Madrid,,,,5.0,2.0,1.0,1.0,12.0,3.5
AA379,Hotel Concordy,4.3,3.7,3.9,7.0,4.0,3.0,14.0,37.0,3.5
TH539,Hotel Mayrit,,,,8.0,1.0,1.0,4.0,14.0,4.0
TR611,Apartamentos Mont Blanc,,,,,,,,1.0,5.0
TH114,Hotel One Shot Recoletos 04,4.4,4.7,4.2,347.0,34.0,30.0,237.0,730.0,4.0
JH707,BlueSense Madrid Genova,2.8,4.2,2.5,8.0,40.0,81.0,31.0,230.0,2.5
JH304,Artistic B&B,4.9,4.9,4.9,562.0,1.0,0.0,89.0,667.0,5.0
BW507,OYO Hello Ifema,,,,,,,,4.0,3.5
AA647,Apartamentos Princesa,,,,,,,,5.0,3.0
TH633,Hostal Suarez,,,,,,,,4.0,3.0
EX145,Galicia Hostel,3.2,4.7,3.0,,,,,35.0,2.5
EX31,Hostal Gran Via 63 Rooms,4.3,4.8,4.2,56.0,11.0,15.0,64.0,170.0,4.0
EC577,Pension Avantiss,4,4.8,4.0,,,,,7.0,4.0
EX136,Hostal Sonne,,,,1.0,0.0,3.0,2.0,8.0,3.0
AA394,Hostal la Macarena,4.2,4.8,4.0,95.0,9.0,4.0,118.0,258.0,4.0
EX351,Petit Hostel Madrid,4.2,4.9,4.1,53.0,1.0,6.0,11.0,77.0,4.5
EC277,OK Hostel Madrid,4.8,4.8,4.8,502.0,5.0,5.0,88.0,619.0,4.5
AA593,Hostal Antelope 5,,,,,,,,5.0,3.5
EX310,Ibis Budget Madrid Centro Las Ventas,4.4,4.1,4.2,516.0,46.0,29.0,717.0,1575.0,4.0
BW380,TOTEM Madrid,4.7,4.8,4.6,240.0,5.0,4.0,94.0,363.0,4.5
JH362,Apartamentos Blume Cruz,4.8,4.9,4.7,418.0,4.0,1.0,137.0,576.0,4.5
EX293,Hostal Far Home Plaza Mayor,4.1,4.5,4.0,78.0,12.0,18.0,89.0,238.0,4.0
AA574,AH - Alfred Hostel,,,,,,,,5.0,4.0
EC241,URBANSEA Atocha 113,4.3,4.6,4.3,164.0,22.0,15.0,258.0,563.0,4.0
BW456,Hostal la Zona,,,,104.0,9.0,5.0,95.0,242.0,4.0
EX622,Apartamentos Calle Jose,,,,,,,,2.0,4.0
BW28,Petit Palace Plaza Mayor,4.2,4.8,4.2,654.0,55.0,28.0,555.0,1443.0,4.0
EC21,SmartRental Puerta del Sol,,,,45.0,5.0,4.0,20.0,83.0,4.0
EX378,Akeah Hotel Gran Via Only Adults,,5.0,3.0,8.0,2.0,1.0,1.0,12.0,3.5
AA675,Eurosuite Malasana 205,,,,,,,,1.0,1.0
JH338,2060 The Newton Hostel,4.4,4.8,4.8,235.0,3.0,7.0,38.0,295.0,4.5
AA561,Apartamentos Calle Cultura,,,,5.0,0.0,2.0,4.0,16.0,3.5
JH568,Apartamentos Felipe VI,,,,4.0,0.0,1.0,2.0,11.0,3.5
TH104,Palacio Apartaments Madrid,,,,,,,,5.0,3.5
BW299,Muralto Madrid Princesa,4.4,4.6,4.4,381.0,15.0,7.0,393.0,907.0,4.0
EX606,Urban Vida Ribera,,,,,,,,5.0,3.5
TR529,Good Stay Prado,,,,27.0,8.0,16.0,45.0,119.0,3.5
TH154,ILUNION Pio XII,4.1,3.6,4.2,453.0,73.0,36.0,463.0,1241.0,4.0
EX146,Wellington Hotel & Spa,4.7,4.7,4.5,1211.0,62.0,34.0,538.0,1994.0,4.5
BW14,OYO Hostal Felipe V,4.2,4.8,4.2,46.0,2.0,8.0,46.0,116.0,4.0
EX102,Hostal Carmen,3.4,5.0,3.2,8.0,1.0,2.0,8.0,28.0,3.5
EC329,Hotel Praga,3.8,3.3,3.5,173.0,181.0,109.0,653.0,1722.0,3.5
TR242,Hotel Gran Versalles,4.3,4.4,4.0,333.0,40.0,39.0,573.0,1189.0,4.0
EX719,Apartment Ifema-Airport,,,,,,,,4.0,1.0
EX289,Hotel Zenit Abeba,4.4,4.2,4.1,160.0,23.0,19.0,329.0,631.0,4.0
JH392,CH Otello Rooms,3.8,4.9,3.8,31.0,6.0,11.0,56.0,132.0,3.5
AA576,Apartamentos APR Numancia,,,,5.0,3.0,3.0,9.0,21.0,3.5
EX101,Hostal INTER Plaza Mayor,,,,25.0,44.0,66.0,86.0,288.0,3.0
JH13,Suites Hotel - Foxa 25,,,,12.0,11.0,3.0,26.0,67.0,3.5
TH357,NH Madrid Paseo de la Habana,4,4.0,3.9,227.0,99.0,67.0,363.0,1016.0,3.5
TH96,Hostal Madrid Sol,4.4,4.8,4.3,63.0,4.0,9.0,42.0,135.0,4.0
JH550,Apartamentos Alcala,,,,5.0,1.0,2.0,9.0,24.0,3.5
TR665,Hostal Gislay,,,,,,,,3.0,2.5
EC290,Crisol Via Castellana,4.1,4.0,3.8,151.0,58.0,51.0,310.0,797.0,3.5
EC51,Hostal Esmeralda,4.4,4.8,4.1,66.0,6.0,5.0,88.0,187.0,4.0
JH288,Sonder Santa Ana,4.5,4.8,4.4,108.0,5.0,4.0,35.0,161.0,4.5
TR125,Princesa Universal,,,,,,,,1.0,3.0
EC301,Safestay Madrid,4.6,4.6,4.4,995.0,25.0,47.0,390.0,1553.0,4.5
JH661,Viviendas Turisticas Conde de Molina,,,,,,,,1.0,2.0
TR292,NYX Hotel Madrid,3.8,3.5,3.6,91.0,17.0,29.0,69.0,259.0,3.5
TH652,Monopoly Madrid,,,,,,,,6.0,3.0
TR708,Siesta & Go,2.3,2.3,2.4,3.0,1.0,18.0,5.0,30.0,2.0
BW581,San Bernardo Rooms,1,5.0,3.3,,,,,6.0,3.5
BW63,NH Collection Palacio de Tepa,4.8,4.9,4.7,1029.0,25.0,18.0,405.0,1558.0,4.5
BW634,Friendly Rentals NoMaD,,,,,,,,4.0,3.0
TH672,Hostal Welcome,,,,9.0,9.0,13.0,5.0,50.0,3.0
TR538,Hostal Las Cortes,3.9,4.8,3.8,6.0,2.0,3.0,21.0,48.0,3.5
BW659,Hostal Artico,,,,1.0,2.0,3.0,4.0,13.0,3.0
EX253,4C Bravo Murillo,3.9,3.9,3.9,61.0,9.0,10.0,170.0,313.0,4.0
EC469,Hostal Diaz,4.5,5.0,4.0,6.0,0.0,4.0,4.0,18.0,3.5
BW8,ICON Casona 1900,4.8,4.9,4.9,420.0,4.0,1.0,61.0,490.0,5.0
JH505,CH Las Murallas,4.1,4.8,3.6,33.0,8.0,14.0,60.0,140.0,3.5
TR350,JC Rooms Santo Domingo Hotel,4.3,4.7,4.3,558.0,50.0,35.0,466.0,1314.0,4.0
TR375,ICON Wipton,4.8,4.9,4.8,577.0,8.0,2.0,83.0,684.0,5.0
AA482,Hostal Cervelo,,,,49.0,8.0,14.0,103.0,209.0,4.0
EC476,AC Hotel by Marriott Madrid Feria,4.4,3.2,4.1,119.0,10.0,10.0,228.0,452.0,4.0
BW697,Cinque Terre Apartments,,,,,,,,5.0,2.5
JH546,Hotel Paris,,,,8.0,1.0,2.0,11.0,25.0,4.0
TR656,Apartamentos Champs-Elysees,,,,0.0,2.0,3.0,6.0,11.0,3.0
EX75,Gran Via Suites II,,,,,,,,1.0,3.0
AA278,NH Madrid Las Tablas,4.2,3.5,4.1,404.0,63.0,43.0,417.0,1074.0,4.0
EC447,Hostal Palacio Luna,5,5.0,4.8,12.0,0.0,0.0,9.0,22.0,4.5
EC94,Los Cerrillos,,,,,,,,1.0,5.0
BW47,Amor de Dios 17 Boutique Hotel,5,4.8,4.5,23.0,1.0,3.0,3.0,30.0,4.5
EX438,Hostal Apolo XI,3.9,4.9,3.8,42.0,6.0,12.0,79.0,162.0,4.0
TR60,Destiny Latina,,,,,,,,1.0,4.0
BW165,Soho Boutique Congreso,4.5,4.7,4.3,91.0,3.0,5.0,37.0,142.0,4.5
AA365,Astoria Hostal,4.3,4.8,4.0,114.0,12.0,15.0,211.0,408.0,4.0
EC437,Hostal Huespedes Toledo,4.4,4.9,4.0,15.0,0.0,0.0,26.0,49.0,4.0
AA251,Hostal Marlasca,3.8,4.8,3.6,152.0,45.0,31.0,327.0,706.0,3.5
TH439,Zleep Hotel Madrid Airport,,,,,,,,5.0,3.5
AA192,OleMadrid Hostel,,,,,,,,2.0,5.0
TH497,Aspasios Atocha Apartments,,,,50.0,5.0,3.0,17.0,83.0,4.5
TH226,Hotel Tach Madrid Airport,4.5,4.1,4.1,428.0,40.0,27.0,564.0,1227.0,4.0
TR400,Hostal 4C Cuatro Caminos,4.2,4.3,4.2,43.0,1.0,4.0,74.0,138.0,4.0
AA263,Sercotel Gran Hotel Conde Duque,4.5,4.3,4.3,521.0,51.0,21.0,504.0,1268.0,4.0
JH638,Hostal Carreras,,,,,,,,5.0,3.0
TH234,Hotel Porcel TorreGarden,4.4,3.9,4.2,320.0,26.0,16.0,410.0,888.0,4.0
EX670,Parsa Hostel,,,,,,,,2.0,2.0
TR532,Mimis Apartments,,,,13.0,0.0,0.0,0.0,13.0,5.0
TR85,Hostal Machin,3.9,4.9,3.9,19.0,1.0,6.0,9.0,46.0,3.5
AA571,Madrid Rental Flats,,,,,,,,3.0,5.0
TR492,Hostal Rincon de Sol,,,,5.0,2.0,4.0,7.0,22.0,3.5
TH451,Hostal Anton Martin,,,,14.0,0.0,0.0,9.0,25.0,4.5
AA578,Nuevo Hotel en el centro de la ciudad,,,,,,,,3.0,4.5
EX690,Hostal Bermejo,,,,2.0,11.0,15.0,15.0,65.0,2.5
EC86,Apartments Diaz Tirso de Molina,,,,,,,,1.0,1.0
BW726,Apartamentos Aqui me Quedo,,,,,,,,9.0,1.0
BW167,Hostal Abitum,,,,2.0,0.0,3.0,5.0,15.0,3.0
EX729,Hostal Bahia Madrid,,,,5.0,14.0,48.0,7.0,95.0,2.0
AA530,Hostal Union,,,,9.0,1.0,3.0,19.0,42.0,3.5
JH78,Apartamentos Vallehermoso,,,,,,,,3.0,2.5
EC135,El Jardin,,,,,,,,1.0,4.0
TR297,Petit Palace Alcala,4,4.8,4.2,585.0,74.0,49.0,444.0,1303.0,4.0
AA52,Hostal Oriente,,,,258.0,10.0,5.0,243.0,557.0,4.5
BW134,Abalu Presidential Madrid,,,,,,,,1.0,1.0
EX474,Hostal Los Angeles,,,,,,,,7.0,4.0
EX715,Behap Madrid Gran Via,,,,,,,,9.0,2.0
JH706,Hostal Florida,2.9,4.3,2.7,1.0,17.0,22.0,9.0,72.0,2.5
BW152,Hotel Don Luis,4.1,3.9,3.9,85.0,30.0,20.0,232.0,479.0,3.5
EX696,Apartamentos Sleeping In Madrid,,,,3.0,13.0,8.0,4.0,34.0,2.5
JH58,Hostal Lamalonga,3.4,4.6,3.7,8.0,3.0,5.0,15.0,41.0,3.5
JH551,Hostal Fabiola,,,,6.0,2.0,2.0,15.0,36.0,3.5
TH458,Hostal Miami,,,,19.0,13.0,25.0,45.0,145.0,3.0
JH433,Hostal Teran,4.7,5.0,4.7,43.0,1.0,0.0,15.0,66.0,4.5
TH689,Hostal Helena,,,,11.0,18.0,36.0,26.0,126.0,2.5
TR560,WooTravelling Atocha 107 HOMTELS,,,,,,,,3.0,5.0
TH602,Hostal Castilla III,,,,3.0,0.0,4.0,8.0,20.0,3.5
BW587,Apartamento Gran Via Callao,3.9,4.7,3.6,,,,,10.0,4.0
TH625,The Wine Club - Marques de la Concordia,,,,,,,,5.0,4.0
AA266,Eurostars Central,4.4,4.4,4.1,245.0,30.0,37.0,335.0,777.0,4.0
EX236,Vincci The Mint,4.8,4.9,4.8,1404.0,17.0,10.0,306.0,1777.0,4.5
EC91,CC Malasana Bed & Gastro,4.3,4.6,3.8,179.0,23.0,33.0,169.0,467.0,4.0
TH131,Hostal La Nava,,,,20.0,3.0,4.0,42.0,81.0,4.0
JH61,Petit Palace Arturo Soria,,,,308.0,24.0,16.0,314.0,796.0,4.0
EC681,Aparthotel Tribunal,,,,28.0,89.0,75.0,87.0,406.0,3.0
TR547,Hotel Dome Las Tablas,,,,11.0,3.0,7.0,11.0,39.0,3.5
TH637,Apartamentos Villa Latina,,,,,,,,3.0,3.0
BW461,Hostal Adriano,4.4,4.7,4.1,167.0,7.0,12.0,184.0,411.0,4.0
EX244,DDC DormirDcine Madrid,4.4,4.0,4.2,341.0,22.0,10.0,373.0,840.0,4.0
AA90,Village Babel Rooms,,,,,,,,4.0,3.5
EC363,Hotel Madrid Atocha Affiliated by Melia,4.2,4.5,4.0,504.0,135.0,75.0,686.0,1722.0,4.0
TH341,NH Madrid Ventas,4.6,4.0,4.5,712.0,22.0,24.0,500.0,1370.0,4.5
AA480,Hostal Carracedo,,,,17.0,0.0,1.0,11.0,32.0,4.5
TR732,Casa Espana,,,,,,,,15.0,1.0
JH395,Hostal Lauria,4.4,4.8,4.3,95.0,2.0,3.0,63.0,172.0,4.5
AA281,Hotel Fenix Gran Melia - The Leading hotel of the World,4.7,4.7,4.6,1833.0,55.0,39.0,643.0,2764.0,4.5
JH393,Casa de Huespedes Cuenca,2.8,3.5,3.5,1.0,2.0,1.0,11.0,22.0,3.5
TR446,Good Stay Rooms,,,4.0,,,,,3.0,3.5
TR129,Hostal Arco Iris,4.4,4.6,3.4,5.0,2.0,0.0,11.0,23.0,4.0
BW233,Eurostars Suites Mirasierra,4.5,3.4,4.2,496.0,53.0,46.0,411.0,1113.0,4.0
EC510,Suite Prado Hotel,,,,133.0,13.0,12.0,136.0,336.0,4.0
AA594,Hostal Mister Ramiro,,,,,,,,4.0,5.0
EC360,Hostal Valencia,3.8,4.8,3.5,33.0,16.0,14.0,96.0,202.0,3.5
EC92,Rafaelhoteles Atocha,4.2,3.9,4.0,427.0,146.0,38.0,761.0,1791.0,4.0
EX356,Mercure Madrid Centro,4.3,4.7,4.1,413.0,82.0,34.0,520.0,1257.0,4.0
TR256,Petit Palace Chueca,4,4.8,4.2,759.0,68.0,36.0,520.0,1581.0,4.0
TR88,SmartRental Collection Gran Via Capital,5,5.0,4.4,39.0,0.0,2.0,1.0,42.0,5.0
EX695,Madrid Downtown Hostel,,,,,,,,4.0,2.0
JH39,UMusic Hotel Madrid,5,5.0,4.8,39.0,2.0,0.0,1.0,43.0,5.0
EX723,Panizo Hostel,2.4,4.4,2.3,2.0,8.0,32.0,9.0,61.0,2.0
BW81,Gran Via Chueca Studios,,,,,,,,3.0,4.0
EX70,Open Hostel Madrid,,,,29.0,5.0,13.0,17.0,72.0,3.5
EX62,Chic & Basic Dot Hotel,5,4.8,4.6,10.0,1.0,0.0,4.0,17.0,4.5
EC523,Hotel Quinta De Los Cedros,,,,78.0,2.0,3.0,47.0,135.0,4.5
EX235,Occidental Castellana Norte,4.7,3.6,4.6,1031.0,27.0,20.0,499.0,1676.0,4.5
EC545,Urban Vida Salamanca,,,,6.0,2.0,1.0,3.0,12.0,4.0
EX427,Luz Madrid Rooms,4.6,4.9,4.1,318.0,21.0,37.0,221.0,641.0,4.0
TH280,NH Collection Madrid Colon,4.7,4.8,4.7,788.0,14.0,7.0,287.0,1132.0,4.5
BW391,Bed Madrid,4,4.6,3.8,36.0,20.0,15.0,39.0,137.0,3.5
JH368,limehome Madrid Calle de Don Ramon de la Cruz,4.6,4.6,4.6,87.0,2.0,3.0,31.0,131.0,4.5
JH703,Pension Lemus,2.4,4.2,2.5,9.0,26.0,69.0,22.0,161.0,2.0
BW691,Behap Madrid De Las Letras,,,,10.0,0.0,14.0,3.0,30.0,3.0
AA271,Oriente Palace Apartments,4.6,4.8,4.8,104.0,3.0,4.0,15.0,134.0,4.5
EX419,Hostal Aeropuerto,3.8,4.0,3.6,22.0,5.0,11.0,30.0,100.0,3.5
AA668,Nuria Hotel,,,,4.0,13.0,15.0,12.0,63.0,2.5
EC573,Friendly Rentals Bravo,,,,,,,,3.0,4.5
EX194,Way Hostel Madrid,4.2,4.8,4.7,494.0,12.0,10.0,195.0,748.0,4.5
TR533,Flores Hotel,,,,9.0,0.0,0.0,3.0,13.0,4.5
EX6,B&B Hotel Madrid Fuencarral 52,4.8,4.9,4.6,873.0,6.0,4.0,318.0,1248.0,4.5
TH722,Apartamento Atocha 33,3,4.0,2.0,0.0,0.0,6.0,0.0,7.0,1.5
JH373,NH Madrid Lagasca,4.2,4.7,4.1,291.0,43.0,21.0,319.0,794.0,4.0
AA494,The Citadel by Pillow,4.5,4.8,4.5,70.0,5.0,2.0,39.0,125.0,4.5
EC511,Hostal Sol Square,4.7,4.6,4.2,25.0,2.0,2.0,21.0,53.0,4.0
TR420,Hostal Yolanda,4,4.7,3.4,2.0,2.0,1.0,11.0,30.0,3.5
AA122,Hotel Aravaca Village,4.5,3.8,4.2,75.0,9.0,9.0,102.0,237.0,4.0
TH237,Hotel Claridge,4.7,4.2,4.5,932.0,28.0,30.0,626.0,1713.0,4.5
TR522,Hostal MH Fuencarral,,,,116.0,7.0,9.0,110.0,264.0,4.0
EX113,Ruums,,3.5,1.0,,,,,5.0,1.0
BW376,Madrid Airport Suites Affiliated by Melia,3.8,2.9,3.3,153.0,132.0,177.0,237.0,899.0,3.0
AA643,Km1 Tirso de Molina Apartments,,,,,,,,14.0,3.0
TR699,Motion Hostels Gran Via,,,,82.0,81.0,173.0,117.0,561.0,2.5
JH105,Apartments Center Madrid,3.8,4.3,3.8,6.0,1.0,2.0,9.0,19.0,4.0
JH555,A&B Hostel Principe Pio,,,,,,,,5.0,4.0
AA512,Hotel Sancho,,,,42.0,5.0,3.0,46.0,126.0,4.0
BW121,Woohoo Rooms Hortaleza,,,,,,,,11.0,3.0
EX328,Hostal Pacios,3.6,4.5,3.3,8.0,4.0,9.0,17.0,49.0,3.0
AA519,Hostal Gonzalo,,,,231.0,5.0,3.0,79.0,337.0,4.5
EX410,Hostal Hispalense,4.3,4.9,4.1,21.0,2.0,2.0,30.0,60.0,4.0
EX193,Hostal JQ Madrid 1,4,4.8,3.4,25.0,11.0,8.0,51.0,124.0,3.5
TH320,Hostal Main Street Madrid,4.7,4.8,4.6,387.0,6.0,11.0,171.0,604.0,4.5
EX35,Hotel Freedom,,,,14.0,4.0,3.0,8.0,31.0,4.0
